cluster_id,size,date_range,avg_word_count,keywords,top_authors
0,11,2011-10-06 to 2013-07-26,391.1818181818182,"million, reported, arsenal, united, newspaper","Dan Baynes, Tariq Panja, Bob Bensch, Christopher Elser, Kristen Schweizer"
1,7,2012-09-19 to 2012-11-12,569.8571428571429,"eads, bae, ryanair, enders, lingus","Robert WallAndrea Rothman, Finbarr FlynnKari Lundgren, Robert Wall, Aoife WhiteKari Lundgren, Aoife White"
2,6,2011-10-06 to 2013-07-19,434.8333333333333,"a330, qatar, deliveries, leahy, 787","Andrea RothmanSusanna Ray, Andrea Rothman, Ola Kinner, Andrea RothmanRobert Wall"
3,5,2011-10-06 to 2013-03-11,809.4,"clearing, eu, swaps, banks, boerse","Stephanie BodoniJim Brunsden, Aoife WhiteNini Sukumar, Klaus Wille, Nini Sukumar, Matthew LeisingSilla Brush"
4,8,2011-10-01 to 2013-07-26,498.75,"chrysler, peugeot, million, renault, paris","Mathieu Rosemain, Craig Trudell, Jef FeeleyCraig Trudell, Chiara RemondiniAlessra Migliaccio, Tommaso EbhardtCraig Trudell"
5,6,2011-10-06 to 2011-10-07,1076.8333333333333,"percent, new, ceo, wozniak, stock","John Lauerman, Karen Gullo, AnKrishnamoorthySusan Li, Adam Satariano, Julie Cruz"
6,27,2011-10-06 to 2013-03-11,274.55555555555554,"said, euros, permits, london, commission","Ewa Krukowska, Mathew Carr, Alessro Vitelli, Marek Strzelecki, Catherine Airlie"
7,5,2011-10-01 to 2012-11-12,488.0,"inflation, rousseff, government, year, policy","Andre SolianiMatthew Bristow, Josue LeonelGabrielle Coppola, Gabrielle CoppolaJosue Leonel, Felipe FrischMatthew Bristow, Josue LeonelBlake Schmidt"
8,5,2011-10-01 to 2012-11-16,683.6,"telecom, telecom italia, italia, percent, telefonica","Cornelius RahnMarie Mawad, Chiara RemondiniElisa MartinuzziManuel Baigorri, Chiara Remondini, Alessra Migliaccio, Crayton Harrison"
9,19,2011-10-06 to 2013-07-19,301.4736842105263,"tons, million, million tons, wheat, grain","Rudy Ruitenberg, Marina Sysoyeva, Luzi Ann Javier, Daryna Krasnolutska, Stepan KravchenkoMarina Sysoyeva"
10,6,2011-10-06 to 2012-11-15,231.16666666666666,"lending, luxembourg, billion euros, assets, year","Fabio Benedetti-Valentini, Stephanie Bodoni, Andreas Cremer, Andrew Clapham, John Martens"
11,9,2011-10-06 to 2013-07-19,667.0,"gazprom, yesterday, index, oil, new york","Halia Pavliva, Scott RoseStephen Bierman, Leon LazaroffKsenia Galouchko, Elizabeth Konstantinova, Scott Rose"
12,9,2011-10-01 to 2013-08-16,741.1111111111111,"march, jobs, economy, billion, new","Chris Fournier, Ari Altstedter, Taylor TepperAri Altstedter, Joseph Ciolli, Katia Dmitrieva"
13,5,2011-10-06 to 2013-07-19,258.0,"year, inflation, 2014, 2008, riga","Aaron Eglitis, Aliaksr Kudrytski"
14,5,2011-10-06 to 2012-11-15,363.8,"yesterday, euros, billion euros, nov, rates","Katie Linsell, David GoodmanKeith Jenkins, Liz Capo Mc Cormick"
15,6,2011-10-06 to 2012-12-03,773.8333333333334,"geithner said, fiscal, crisis, dodd, cliff","Cheyenne HopkinsIan Katz, Cheyenne HopkinsPhil Mattingly, Kevin Costelloe, Joseph CiolliTom Keene, Ian Katz"
16,7,2011-10-01 to 2013-07-21,674.2857142857143,"cameron, billion, pounds, billion pounds, year","Robert Hutton, Scott Hamilton, Gonzalo Vina, Agnes Lovasz"
17,8,2011-10-06 to 2013-07-26,638.25,"shares, stock, lost, lost percent, sales","Sarah Jones, Adria Cimino, Adam Haigh, Tom Stoukas, Inyoung Hwang"
18,10,2011-10-06 to 2013-07-26,296.1,"russia, billion, week, day, tax","Vladimir Kuznetsov, Lyubov Pronina, Alex Nicholson, Denis Maternovsky, Ksenia Galouchko"
19,12,2012-09-21 to 2013-04-02,488.8333333333333,"percent, area, euro area, banks, troika","Stelios Orphanides, Georgios GeorgiouNatalie WeeksMaria Petrakis, Scott Rose, the Editors, Jonathan Weil"
20,9,2011-10-06 to 2013-04-01,470.3333333333333,"futures, new york, york, new, march","Debarati Roy, Nicholas LarkinDebarati Roy, Glenys Sim, Chanyaporn Chanjaroen, Debarati RoyNicholas Larkin"
21,5,2011-10-06 to 2013-07-19,491.4,"rose, european, bank, ubs, spain","Tom Stoukas, Alexis Xydias, Peter Levring, Corinne GretlerJonathan Morgan"
22,7,2012-09-19 to 2013-07-19,389.85714285714283,"growth, economic, cuts, inflation, belka","Konrad Krasuski, Piotr Skolimowski, Maciej Onoszko, Dorota Bartyzel"
23,10,2011-10-06 to 2013-04-02,501.2,"inflation, german, forecast, growth, european","Stefan Riecher, Mark Deen, Jeff Black, Angeline Benoit, Chiara VasarriLorenzo Totaro"
24,9,2011-10-06 to 2013-07-26,486.44444444444446,"rate, inflation, policy, monetary, orban","Andras Gergely, Edith Balazs, Agnes Lovasz, Zoltan Simon"
25,5,2012-09-26 to 2012-11-12,429.6,"romania, september, food, monetary, bucharest","Irina Savu, Zoltan Simon, Andra TimuIrina Savu"
26,5,2012-09-19 to 2013-03-11,551.6,"fell, finance, according, million, deutsche bank","Adria Cimino, Jonathan Morgan"
27,6,2011-10-06 to 2013-04-01,789.3333333333334,"european, lowest, dropped, debt, dropped percent","Ian SaysonSridhar Natarajan, Chan Tien HinJason Webb, Harry SuhartonoKsenia Galouchko, Anuchit NguyenMaria Levitov, Michael PattersonWeiyi Lim"
28,9,2011-10-06 to 2013-03-29,323.6666666666667,"billion, euros, bank, slovenia, year","Gordana Filipovic, Boris Cerni, Misha Savic, Withassistancefrom Emma Charlton"
29,10,2011-10-06 to 2013-04-02,474.9,"yesterday, data, today, central, china","Kristine Aquino, Cice Zachariahs, Mariko Ishikawa, Mariko IshikawaKevin Buckl, Joseph Ciolli"
30,9,2011-10-01 to 2013-07-19,645.5555555555555,"year, won, exports, taiwan, korea","David Yong, Lilian KarununganYumi Teso, Andrea WongDavid Yong, Weiyi Lim, Jiyeun LeeEunkyung Seo"
31,27,2011-10-06 to 2013-07-26,781.8518518518518,"asia, hong, hong kong, kong, topix","Yoshiaki Nohara, Adam Haigh, Jonathan Burgos, Norie Kuboyama, Shani RajaYoshiaki Nohara"
32,56,2011-10-06 to 2013-07-26,719.625,"wti, york, new york, million, week","Mark Shenk, Grant Smith, Moming Zhou, Christian Schmollinger, Barbara Powell"
33,21,2011-10-06 to 2013-07-26,623.4761904761905,"banks, percent, schaeuble, merkel, bank","James G.Neuger, Gabi ThesingJeff Black, Natalie WeeksChristos Ziotis, James HertlingTony Czuczka, Jeff BlackJana Row"
34,10,2011-10-06 to 2013-07-26,830.9,"percent, euros, spain, basis, million","Namitha Jagadeesh, Peter Rawlings, Michael P.ReganRita Nazareth, Pierre Paulden, Jonathan Morgan"
35,8,2011-10-06 to 2013-07-26,1131.75,"corp, shares, rose, dropped, today","Inyoung Hwang, Rita Nazareth, Sarah Pringle, Lu Wang, Lindsey RuppNikolaj Gammeltoft"
