cluster_id,size,date_range,avg_word_count,keywords,top_authors
0,2,2012-11-15 to 2012-12-04,637.0,"Lenny Dykstra Should Get, Months, Prison, Says Ex, Met Lenny Dykstra Gets",Edvard Pettersson
1,5,2012-09-19 to 2013-07-20,599.4,"Offers, Training, Truckers, Avoid Bridges Apple, Gets Glowing Reviews Apple Moves Toward","Jeff Plungis, Adam Satariano, Rich Jaroslovsky, Michael B.Marois, Peter BurrowsSarah Frier"
2,3,2012-09-21 to 2013-07-26,393.6666666666667,"Illinois Soybean Crush Report, July, Sept, sep, sep sep",Michael Carone
3,8,2012-09-21 to 2013-07-26,850.5,"Oil Market News, Solves Its Oil Glut Dilemma Hedge Funds Cut, Brent Crude Net, Longs, Lowest","Lananh Nguyen, Evan Soltas, Sherry Su, Alexer Kwiatkowski, Eliot Caroom"
4,3,2012-09-19 to 2013-07-19,1090.6666666666667,"Motor City Revival Means, Fold Return, Home Bet Blue, Collar Vacation, Home Dreams","Kathleen M.HowleyJeff Green, Chris Christoff, Jeff GreenMark Clothier"
5,3,2011-10-07 to 2012-11-13,1075.3333333333333,"Merkel Diverges From Sarkozy, Greek Default Threat, Banks, Euro Credit Europe Gives Greece, More Years","James HertlingTony Czuczka, James G.NeugerJonathan Stearns, Laura Zelenko"
6,2,2012-09-20 to 2012-11-12,1061.5,"Peugeot Heirs Invest, Nursing Homes, Automaker Slides Status Takes Back Seat, Crisis Favors Dacia Over Ford, dacia","Mathieu Rosemain, Christian Wuestner"
7,2,2011-10-06 to 2012-09-27,500.5,"Saab Says Companies, Showing Interest, Deal, Peugeot Discussion Said, Slow While Economy Worsens","Ola Kinner, David WelchTim Higgins"
8,3,2012-09-26 to 2012-09-26,749.0,"European Stocks Drop Most Since July Before Spain Budget German Stocks Drop, Plosser Says Bond Buying May Fail Swiss Stocks Drop, Most, Three Weeks, Myriad Tumbles","Adria Cimino, Jonathan Morgan, Corinne GretlerJonathan Morgan"
9,6,2012-11-15 to 2013-07-26,1031.0,"German Growth Slowed Less Than Forecast, Third Quarter Americans Absorb Payroll, Tax Rise, Keep Spending, Economy Mexico Peso Reaches Strongest Since August","Stefan Riecher, Shobhana ChraRich Miller, Ben Bain, Victoria Stilwell, Shobhana Chra"
10,2,2012-09-19 to 2013-03-29,1036.5,"Fails, Match Fed, Quashing Deflation Bets, Japan Credit Nikkei, Posts Best Back","Masaki KondoMonami YuiShigeki Nozawa, Anna KitanakaYoshiaki Nohara"
11,4,2012-09-22 to 2013-07-19,542.75,"Model, Tesla, Musk Sidesteps, Sales Target Tesla Forecasts First Quarterly Profit, Sales Tesla Advances","Rose KimCraig Trudell, Alan OhnsmanBetty Liu, Justin Doom"
12,17,2012-09-19 to 2013-07-28,721.6470588235294,"Next Item, Sale Aboard China, Spring Airlines, Cars China Passenger, Vehicle Sales Top Estimates","Bloomberg News, Anna MukaiYuki HagiwaraMa Jie, Karthikeyan SundaramSiddharth Philip, Seyoon Kim, Eunkyung SeoCynthia Kim"
13,4,2011-10-06 to 2013-07-19,473.25,"Nissan, Renault, Build New Brazil Plant, Upgrade One Nissan Plans, Billion Plant","Jose Sergio Osse, Alan Ohnsman, Brendan CaseJose Enrique Arrioja, Jennifer Surane"
