cluster_id,cluster_name,size,ai_summary,analytical_context,full_narrative,keywords
0,Okaya,30,The narrative across 30 articles reveals: Okaya & Co Ltd (7485) announced full-year group dividend estimates for the period to Feb. 29 . Figures are in yen . 1st Holdings (2423) announced full year group dividend of 5.00 . tenmaya store (1st-Half Dividend 30.00 27.50) 2nd-half dividend 3.50 2.50 . 3rd-haul Dividend 2.50 2nd .,"Coverage Analysis: This story received intensive daily coverage over 1 days, characterized by concentrated reporting and concise coverage. Key themes identified: Group Dividend, Yen, Dividend, Group Net Income Estimate, Yen Tact Home Co Ltd. This represents a major ongoing story with sustained media attention.","The narrative across 30 articles reveals: Okaya & Co Ltd (7485) announced full-year group dividend estimates for the period to Feb. 29 . Figures are in yen . 1st Holdings (2423) announced full year group dividend of 5.00 . tenmaya store (1st-Half Dividend 30.00 27.50) 2nd-half dividend 3.50 2.50 . 3rd-haul Dividend 2.50 2nd .

Coverage Analysis: This story received intensive daily coverage over 1 days, characterized by concentrated reporting and concise coverage. Key themes identified: Group Dividend, Yen, Dividend, Group Net Income Estimate, Yen Tact Home Co Ltd. This represents a major ongoing story with sustained media attention.","Group Dividend, Yen, Dividend, Group Net Income Estimate, Yen Tact Home Co Ltd"
1,Indian,33,"The narrative across 33 articles reveals: following is a table showing certificate of deposits dealt by Indian companies . the data has been provided by LKP Securities Ltd., NVS Brokerage Ltd. and SPA Securities Ltd . if you have any questions, please contact us at info@tfma.org . click here for more information on the irma certificate of deposit report . indian bank and OBC bank CD's Deals: Indian Money Market .","Coverage Analysis: This story received sporadic coverage over 309 days, characterized by concentrated reporting and concise coverage. Key themes identified: Deals, India Money Markets, Bank, Deposits Reported, Indian Money Market. This represents a major ongoing story with sustained media attention.","The narrative across 33 articles reveals: following is a table showing certificate of deposits dealt by Indian companies . the data has been provided by LKP Securities Ltd., NVS Brokerage Ltd. and SPA Securities Ltd . if you have any questions, please contact us at info@tfma.org . click here for more information on the irma certificate of deposit report . indian bank and OBC bank CD's Deals: Indian Money Market .

Coverage Analysis: This story received sporadic coverage over 309 days, characterized by concentrated reporting and concise coverage. Key themes identified: Deals, India Money Markets, Bank, Deposits Reported, Indian Money Market. This represents a major ongoing story with sustained media attention.","Deals, India Money Markets, Bank, Deposits Reported, Indian Money Market"
2,Tonga & France,32,"The narrative across 32 articles reveals: Tonga upset fifth-ranked France 19-14 in rugby world cup pool a match . tonga scored a try through winger Sukanaivalu Hufanga . fly-half Kurt Morath added four penalties and a conversion . australia sealed a quarterfinal berth by beating Russia 68-22 . england lead australia by 264 runs at end of second day of ashes test . all blacks bowled out for 128 at Lord's cricket ground . graeme swann and Graeme Swann combined for 48 runs in first innings . australia's Ryan Harris took 5-72, including the wicket of Bresnan on the opening ball of the second day . england started the day at 289-7 after Ian Bell's third straight ashes century helped the home team recover from the loss of three early wickets . new Zealand included Beauden Barrett as one of three fly-halves in a 28-man touring squad for the final two rounds of the inaugural rugby championship . world champion new zealand leads the southern hemisphere championship standings with 16 points . it will secure the inaugural title by winning either of its remaining games . australia reached 306-4 in reply to south africa's first-innings 450 in first test . Dan Baynes at dbaynes@bloomberg.net if you have any questions about this story, please contact him . he is the editor of this story for cnn.com, and he will be available to answer any questions you may have .","Coverage Analysis: This story received sporadic coverage over 660 days, characterized by concentrated reporting and concise coverage. Key themes identified: World, Lead, Rugby, Rugby World Cup Victory Would Elevate All Blacks Brand Past, Million Read. This represents a major ongoing story with sustained media attention.","The narrative across 32 articles reveals: Tonga upset fifth-ranked France 19-14 in rugby world cup pool a match . tonga scored a try through winger Sukanaivalu Hufanga . fly-half Kurt Morath added four penalties and a conversion . australia sealed a quarterfinal berth by beating Russia 68-22 . england lead australia by 264 runs at end of second day of ashes test . all blacks bowled out for 128 at Lord's cricket ground . graeme swann and Graeme Swann combined for 48 runs in first innings . australia's Ryan Harris took 5-72, including the wicket of Bresnan on the opening ball of the second day . england started the day at 289-7 after Ian Bell's third straight ashes century helped the home team recover from the loss of three early wickets . new Zealand included Beauden Barrett as one of three fly-halves in a 28-man touring squad for the final two rounds of the inaugural rugby championship . world champion new zealand leads the southern hemisphere championship standings with 16 points . it will secure the inaugural title by winning either of its remaining games . australia reached 306-4 in reply to south africa's first-innings 450 in first test . Dan Baynes at dbaynes@bloomberg.net if you have any questions about this story, please contact him . he is the editor of this story for cnn.com, and he will be available to answer any questions you may have .

Coverage Analysis: This story received sporadic coverage over 660 days, characterized by concentrated reporting and concise coverage. Key themes identified: World, Lead, Rugby, Rugby World Cup Victory Would Elevate All Blacks Brand Past, Million Read. This represents a major ongoing story with sustained media attention.","World, Lead, Rugby, Rugby World Cup Victory Would Elevate All Blacks Brand Past, Million Read"
3,Manchester City Planning,50,"The narrative across 50 articles reveals: manchester city is planning to bid 40 million pounds ($63 million) for suarez . manager Roberto mancini wants to bring in the uruguayan national team player . city is also interested in atletico madrid striker Radamel falcao . queens park rangers expires after the season, the mirror said . the midfielder moved to france after being banned for 12 matches . he has only been able to play in the Europa league so far .","Coverage Analysis: This story received sporadic coverage over 665 days, characterized by concentrated reporting and concise coverage. Key themes identified: Sun Says, David Beckham, Endorsement Income Rises, Galaxy Contract Approaches End, Whistleblower Chuck Blazer. This represents a major ongoing story with sustained media attention.","The narrative across 50 articles reveals: manchester city is planning to bid 40 million pounds ($63 million) for suarez . manager Roberto mancini wants to bring in the uruguayan national team player . city is also interested in atletico madrid striker Radamel falcao . queens park rangers expires after the season, the mirror said . the midfielder moved to france after being banned for 12 matches . he has only been able to play in the Europa league so far .

Coverage Analysis: This story received sporadic coverage over 665 days, characterized by concentrated reporting and concise coverage. Key themes identified: Sun Says, David Beckham, Endorsement Income Rises, Galaxy Contract Approaches End, Whistleblower Chuck Blazer. This represents a major ongoing story with sustained media attention.","Sun Says, David Beckham, Endorsement Income Rises, Galaxy Contract Approaches End, Whistleblower Chuck Blazer"
4,Kuroda & Yankees,49,The narrative across 49 articles reveals: hiroki Kuroda pitched seven scoreless innings as the Yankees beat the Texas Rangers 2-0 . the new york mets won 7-4 to split a four-game series with the Atlanta Braves . a two-run homer by the braves and a single shot by Freddie Freeman tied the game 4-4 . new york Mets were the only team to score more than 10 runs in a 11-2 victory against the San Diego Padres on saturday .,"Coverage Analysis: This story received sporadic coverage over 666 days, characterized by concentrated reporting and concise coverage. Key themes identified: East Lead, Return, Major League Baseball, Postseason Schedule, Results Cardinals Beat Phillies. This represents a major ongoing story with sustained media attention.","The narrative across 49 articles reveals: hiroki Kuroda pitched seven scoreless innings as the Yankees beat the Texas Rangers 2-0 . the new york mets won 7-4 to split a four-game series with the Atlanta Braves . a two-run homer by the braves and a single shot by Freddie Freeman tied the game 4-4 . new york Mets were the only team to score more than 10 runs in a 11-2 victory against the San Diego Padres on saturday .

Coverage Analysis: This story received sporadic coverage over 666 days, characterized by concentrated reporting and concise coverage. Key themes identified: East Lead, Return, Major League Baseball, Postseason Schedule, Results Cardinals Beat Phillies. This represents a major ongoing story with sustained media attention.","East Lead, Return, Major League Baseball, Postseason Schedule, Results Cardinals Beat Phillies"
5,Government Bonds Australia,46,"The narrative across 46 articles reveals: government bonds in australia climbed, sending 10-year yields to the lowest in almost four weeks . the u.s. dollar rose 0.2 percent from last week to $1.0412 as of 6:06 p.m. in Sydney . new zealand’s currency gained 0.3 percent to 81.62 U.S. cents . interest-rate swaps data compiled by Bloomberg show traders see a 60 percent chance the central bank will lower its benchmark interest rate to 3 percent next month . that compares with a 68 percent chance indicated on Nov. 7 . the so-called australian dollar slid for a third day versus the us dollar . local bonds rose, with 10-year yields touching a four-week low . manufacturing data in the u.s. and china yesterday trailed economists’ estimates . a report today is forecast to show euro-area unemployment rose to a record . the jobless rate in the euro area probably rose to 12 percent in march, the highest on record going back to July 1990 . the Purchasing Managers ' Index of Chinese manufacturing released yesterday was 50.9 for March, below the 51.2 median estimate of economists in a Bloomberg poll . in the us, the institute for supply management’s factory index fell to 51.3 last month from 54.2 in February . australia’s consumer price index probably gained 0.5 percent in the second quarter from a 0.4 percent pace in the previous three-month period . the benchmark 10-year bond yield fell seven basis points since July 12 to 3.67 percent . australian bonds rose, sending the benchmark yield to the lowest level in almost one month . dollar slid 0.1 percent to $1.0361 as of 6:03 p.m. in Sydney from yesterday . new zealand's currency added 0.2 percent to 81.20 U.S. cents . the so-called kiwi jumped 0.9 percent to 65.58 yen .","Coverage Analysis: This story received sporadic coverage over 660 days, characterized by mixed coverage and detailed reporting. Key themes identified: Australian Homes, Sale Jump, September, Says New Zealand Dollar Falls Against, Currency. This represents a major ongoing story with sustained media attention.","The narrative across 46 articles reveals: government bonds in australia climbed, sending 10-year yields to the lowest in almost four weeks . the u.s. dollar rose 0.2 percent from last week to $1.0412 as of 6:06 p.m. in Sydney . new zealand’s currency gained 0.3 percent to 81.62 U.S. cents . interest-rate swaps data compiled by Bloomberg show traders see a 60 percent chance the central bank will lower its benchmark interest rate to 3 percent next month . that compares with a 68 percent chance indicated on Nov. 7 . the so-called australian dollar slid for a third day versus the us dollar . local bonds rose, with 10-year yields touching a four-week low . manufacturing data in the u.s. and china yesterday trailed economists’ estimates . a report today is forecast to show euro-area unemployment rose to a record . the jobless rate in the euro area probably rose to 12 percent in march, the highest on record going back to July 1990 . the Purchasing Managers ' Index of Chinese manufacturing released yesterday was 50.9 for March, below the 51.2 median estimate of economists in a Bloomberg poll . in the us, the institute for supply management’s factory index fell to 51.3 last month from 54.2 in February . australia’s consumer price index probably gained 0.5 percent in the second quarter from a 0.4 percent pace in the previous three-month period . the benchmark 10-year bond yield fell seven basis points since July 12 to 3.67 percent . australian bonds rose, sending the benchmark yield to the lowest level in almost one month . dollar slid 0.1 percent to $1.0361 as of 6:03 p.m. in Sydney from yesterday . new zealand's currency added 0.2 percent to 81.20 U.S. cents . the so-called kiwi jumped 0.9 percent to 65.58 yen .

Coverage Analysis: This story received sporadic coverage over 660 days, characterized by mixed coverage and detailed reporting. Key themes identified: Australian Homes, Sale Jump, September, Says New Zealand Dollar Falls Against, Currency. This represents a major ongoing story with sustained media attention.","Australian Homes, Sale Jump, September, Says New Zealand Dollar Falls Against, Currency"
6,Baltimore Ravens & Ravens,33,"The narrative across 33 articles reveals: belichick grabbed the arm of a replacement official after his team's 31-30 loss to the Baltimore Ravens . the league also fined redskins offensive coordinator Kyle Shanahan $25,000 for verbal abuse he had with an official over an erroneous call . both offenses occurred in games on sept. 23 . running back Joe McKnight will have an increased role in the team’s defensive secondary . the 24-year-old worked this week with the cornerbacks both on the practice field and in meetings . he will also remain involved in the nfl team's offense when the Jets host the 49ers . if he is cleared to play, he’ll return to the starting lineup . Nick Foles came off the bench to complete 22 of 32 passes for 219 yards, with a touchdown and an interception . he will take all the snaps with the first team this week and prepare to start against the redskins in landover, Maryland, on Nov. 18 . nfl's free-agent signing period begins today . percy harvin and anquan boldin on verge of switching teams . mike downey says he's not worried about selling personal seat licenses . the free-agency and trading periods begin at 4 p.m. new york time . teams are permitted to negotiate with agents of players who will become unrestricted free agents when their 2012 contracts expire . the new york Giants will assign a first-round tender worth $2.9 million to receiver Victor Cruz .","Coverage Analysis: This story received sporadic coverage over 665 days, characterized by mixed coverage and concise coverage. Key themes identified: Harvin, America, Called Seahawks, Drops Hank Williams Jr, Song From Monday Football. This represents a major ongoing story with sustained media attention.","The narrative across 33 articles reveals: belichick grabbed the arm of a replacement official after his team's 31-30 loss to the Baltimore Ravens . the league also fined redskins offensive coordinator Kyle Shanahan $25,000 for verbal abuse he had with an official over an erroneous call . both offenses occurred in games on sept. 23 . running back Joe McKnight will have an increased role in the team’s defensive secondary . the 24-year-old worked this week with the cornerbacks both on the practice field and in meetings . he will also remain involved in the nfl team's offense when the Jets host the 49ers . if he is cleared to play, he’ll return to the starting lineup . Nick Foles came off the bench to complete 22 of 32 passes for 219 yards, with a touchdown and an interception . he will take all the snaps with the first team this week and prepare to start against the redskins in landover, Maryland, on Nov. 18 . nfl's free-agent signing period begins today . percy harvin and anquan boldin on verge of switching teams . mike downey says he's not worried about selling personal seat licenses . the free-agency and trading periods begin at 4 p.m. new york time . teams are permitted to negotiate with agents of players who will become unrestricted free agents when their 2012 contracts expire . the new york Giants will assign a first-round tender worth $2.9 million to receiver Victor Cruz .

Coverage Analysis: This story received sporadic coverage over 665 days, characterized by mixed coverage and concise coverage. Key themes identified: Harvin, America, Called Seahawks, Drops Hank Williams Jr, Song From Monday Football. This represents a major ongoing story with sustained media attention.","Harvin, America, Called Seahawks, Drops Hank Williams Jr, Song From Monday Football"
7,College Basketball Teams,46,"The narrative across 46 articles reveals: college basketball teams aren't as good as they were a decade ago, giving rise to more upsets and allowing schools to advance in the sport's premier postseason tournament . ""35 or 40 knew that they had a chance to win the next game, which makes the college level different, but interesting,"" packer said . defending champion Kentucky , known for recruiting high school stars who jump to the pros after a season, finished the year 21-12 and wasn't even invited to the NCAA tournament. the fourth-seeded Orange will play No. 3 seed Marquette for a place in the final four at the national collegiate athletic association tournament . the meeting between the Hoosiers and the Orange was their first in the NCAA tournament since Indiana beat Syracuse in the 1987 title game . the fourth-seeded Orange will play No. 3 seed Marquette for a place in the final four . the meeting was their first in the NCAA tournament since Indiana beat Syracuse in 1987 . in the last game of the day, no. 9 Wichita State defeated no. 13 La Salle 72-58 to reach the west regional final . finalists in the west region will be decided tonight . no. 2 Ohio State faces sixth-seeded Arizona and no. 9 Wichita State takes on no. 13 la Salle . it's the seventh time Marquette has advanced to the regional finals of the NCAA tournament . the Golden Eagles won the title in 1977, were runner-up three years earlier . they have reached the final four three times, most recently in 2003 . dex McLuskey is the editor responsible for this story .","Coverage Analysis: This story received sporadic coverage over 664 days, characterized by mixed coverage and concise coverage. Key themes identified: Join Big, Longest, Win Streak, Knicks Get, Straight. This represents a major ongoing story with sustained media attention.","The narrative across 46 articles reveals: college basketball teams aren't as good as they were a decade ago, giving rise to more upsets and allowing schools to advance in the sport's premier postseason tournament . ""35 or 40 knew that they had a chance to win the next game, which makes the college level different, but interesting,"" packer said . defending champion Kentucky , known for recruiting high school stars who jump to the pros after a season, finished the year 21-12 and wasn't even invited to the NCAA tournament. the fourth-seeded Orange will play No. 3 seed Marquette for a place in the final four at the national collegiate athletic association tournament . the meeting between the Hoosiers and the Orange was their first in the NCAA tournament since Indiana beat Syracuse in the 1987 title game . the fourth-seeded Orange will play No. 3 seed Marquette for a place in the final four . the meeting was their first in the NCAA tournament since Indiana beat Syracuse in 1987 . in the last game of the day, no. 9 Wichita State defeated no. 13 La Salle 72-58 to reach the west regional final . finalists in the west region will be decided tonight . no. 2 Ohio State faces sixth-seeded Arizona and no. 9 Wichita State takes on no. 13 la Salle . it's the seventh time Marquette has advanced to the regional finals of the NCAA tournament . the Golden Eagles won the title in 1977, were runner-up three years earlier . they have reached the final four three times, most recently in 2003 . dex McLuskey is the editor responsible for this story .

Coverage Analysis: This story received sporadic coverage over 664 days, characterized by mixed coverage and concise coverage. Key themes identified: Join Big, Longest, Win Streak, Knicks Get, Straight. This represents a major ongoing story with sustained media attention.","Join Big, Longest, Win Streak, Knicks Get, Straight"
8,"Crude Oil, Nation’S",47,"The narrative across 47 articles reveals: crude oil, the nation’s biggest export, rose to a three-week high amid increased risk appetite . the currency gained against a majority of its most-traded peers after a report showed that inflation in the u.s., Canada’s largest trading partner, is contained . retail sales grew in January after falling the month before . speculators on a decline in the Canadian dollar compared with net shorts of 46,663 a week earlier .","Coverage Analysis: This story received sporadic coverage over 686 days, characterized by mixed coverage and detailed reporting. Key themes identified: Text, Almost, Canada August Building Permits, Statistical Summary Canada September Home Sales May Have Fallen, Data Show Canada September. This represents a major ongoing story with sustained media attention.","The narrative across 47 articles reveals: crude oil, the nation’s biggest export, rose to a three-week high amid increased risk appetite . the currency gained against a majority of its most-traded peers after a report showed that inflation in the u.s., Canada’s largest trading partner, is contained . retail sales grew in January after falling the month before . speculators on a decline in the Canadian dollar compared with net shorts of 46,663 a week earlier .

Coverage Analysis: This story received sporadic coverage over 686 days, characterized by mixed coverage and detailed reporting. Key themes identified: Text, Almost, Canada August Building Permits, Statistical Summary Canada September Home Sales May Have Fallen, Data Show Canada September. This represents a major ongoing story with sustained media attention.","Text, Almost, Canada August Building Permits, Statistical Summary Canada September Home Sales May Have Fallen, Data Show Canada September"
9,September,43,"The narrative across 43 articles reveals: consumer price growth accelerated to 0.33 percent in September from 0.27 percent in august . median estimate in a Bloomberg News survey of 12 analysts was for a 0.26 percent increase . higher food and energy prices in the first half of the year pushed the south american country’s monthly inflation rate to a three-year high of 0.79 percent in July . the sol weakened 0.1 percent last week, closing at 2.7725 per dollar from 2.7690 on sept. 23 . the central bank kept its benchmark lending rate unchanged at 4.25 percent for a fourth month on Sept. 8 .","Coverage Analysis: This story received sporadic coverage over 549 days, characterized by mixed coverage and concise coverage. Key themes identified: September, Fifth Month, Day Rise, Four Months, Summary Bolivia September Consumer Price Index. This represents a major ongoing story with sustained media attention.","The narrative across 43 articles reveals: consumer price growth accelerated to 0.33 percent in September from 0.27 percent in august . median estimate in a Bloomberg News survey of 12 analysts was for a 0.26 percent increase . higher food and energy prices in the first half of the year pushed the south american country’s monthly inflation rate to a three-year high of 0.79 percent in July . the sol weakened 0.1 percent last week, closing at 2.7725 per dollar from 2.7690 on sept. 23 . the central bank kept its benchmark lending rate unchanged at 4.25 percent for a fourth month on Sept. 8 .

Coverage Analysis: This story received sporadic coverage over 549 days, characterized by mixed coverage and concise coverage. Key themes identified: September, Fifth Month, Day Rise, Four Months, Summary Bolivia September Consumer Price Index. This represents a major ongoing story with sustained media attention.","September, Fifth Month, Day Rise, Four Months, Summary Bolivia September Consumer Price Index"
