cluster_id,size,date_range,avg_word_count,keywords,top_authors
0,30,2011-10-06 to 2011-10-06,66.76666666666667,"Group Dividend, Yen, Dividend, Group Net Income Estimate, Yen Tact Home Co Ltd",
1,33,2012-09-21 to 2013-07-26,77.81818181818181,"Deals, India Money Markets, Bank, Deposits Reported, Indian Money Market","Shraddha Kothari, Pooja Saraf"
2,32,2011-10-01 to 2013-07-21,324.5625,"World, Lead, Rugby, Rugby World Cup Victory Would Elevate All Blacks Brand Past, Million Read","Dan Baynes, Bob Bensch, Peter-Joseph Hegarty, Christopher Elser, Alena Chechel"
3,50,2011-10-01 to 2013-07-26,339.28,"Sun Says, David Beckham, Endorsement Income Rises, Galaxy Contract Approaches End, Whistleblower Chuck Blazer","Bob Bensch, Dan Baynes, Christopher Elser, Alex Duff, Peter-Joseph Hegarty"
4,49,2011-10-01 to 2013-07-27,436.0612244897959,"East Lead, Return, Major League Baseball, Postseason Schedule, Results Cardinals Beat Phillies","Rob Gloster, Nancy Kercheval, Erik Matuszewski, Mason Levinson, Eben Novy-Williams"
5,46,2011-10-06 to 2013-07-26,553.4782608695652,"Australian Homes, Sale Jump, September, Says New Zealand Dollar Falls Against, Currency","Cice Zachariahs, Nichola Saminather, Kristine Aquino, Michael Heath, James Paton"
6,33,2011-10-01 to 2013-07-26,299.24242424242425,"Harvin, America, Called Seahawks, Drops Hank Williams Jr, Song From Monday Football","Erik Matuszewski, Eben Novy-Williams, Aaron Kuriloff, Mason Levinson, Curtis Eichelberger"
7,46,2011-10-01 to 2013-07-26,360.4347826086956,"Join Big, Longest, Win Streak, Knicks Get, Straight","Erik Matuszewski, Eben Novy-Williams, Nancy Kercheval, Curtis Eichelberger, Dex Mc Luskey"
8,47,2011-10-01 to 2013-08-16,548.1489361702128,"Text, Almost, Canada August Building Permits, Statistical Summary Canada September Home Sales May Have Fallen, Data Show Canada September","Ilan Kolet, Greg Quinn, Theophilos Argitis, Eric Lam, Andrew Mayeda"
9,43,2011-10-01 to 2013-04-01,171.27906976744185,"September, Fifth Month, Day Rise, Four Months, Summary Bolivia September Consumer Price Index","John Quigley, Dominic Carey, Mark Evans, Ainhoa Goyeneche, Harumi Ichikura"
10,73,2011-10-01 to 2013-07-29,399.05479452054794,"Moody, Week Low, Mexican Senate Asks Pemex, Testify, Repsol","Ben Bain, Sebastian Boyd, Andrea Jaramillo, Rall Woods, Eliana Raszewski"
11,85,2011-10-01 to 2013-07-26,406.9764705882353,"Million, Profit Beats Forecasts, Hour, Year Low, Moderate Brazil Rate Cuts Fit","Julia Leite, Denyse Godoy, Dominic Carey, Raymond Colitt, Blake SchmidtJosue Leonel"
12,170,2011-10-01 to 2013-07-26,362.0529411764706,"Oct, Tons, Signs, Jump, Sugar","Rudy Ruitenberg, Marina Sysoyeva, Isis Almeida, Elizabeth Campbell, Tony C.Dreibus"
13,31,2011-10-06 to 2013-07-26,328.80645161290323,"Third Day, Two, Kharisma Sells, Tons, Thailand Stocks","Ranjeetha Pakiam, Aya Takada, Bloomberg News, Supunnabul Suwannakij, Anuchit Nguyen"
14,52,2011-10-06 to 2013-07-26,594.7692307692307,"Week, Spain Aid Report, Rupee Jumps, Pakistan May Cut Rates, Spur Growth Weakened","Jeanette Rodrigues, Rajhkumar KShaaw, V.Ramakrishnan, Ian SaysonSridhar Natarajan, Unni Krishnan"
15,78,2011-10-01 to 2013-07-27,678.0128205128206,"Christie, Weekend, Sale, Red Coats Bawled, Got Drunk","Guy Collins, Richard Vines, Farah Nayeri, Greg EvansCraig Seligman, Mark Beech"
16,36,2011-10-06 to 2013-07-26,399.27777777777777,"Iron, China, Cut Copper Output, Steel Scrap Exports, Country","Bloomberg News, Joe Richter, Stephen Rose, Agnieszka Troszkiewicz, Joe RichterAgnieszka Troszkiewicz"
17,43,2011-10-06 to 2013-07-26,344.90697674418607,"Oct, Premium, Percent, Gold, Holdings Unchanged","Stephen Rose, Debarati Roy, Glenys Sim, Daniel Petrie, Nicholas LarkinDebarati Roy"
18,33,2011-10-06 to 2013-07-26,388.1818181818182,"Billion Baht, Thai Flood Death Toll Rises, Waters Threaten Honda, Sony Thailand, Central Pattana Said","Yumi Teso, Yudith Ho, Suttinee Yuvejwattana, Supunnabul Suwannakij, Daniel Ten KateSuttinee Yuvejwattana"
