cluster_id,size,duration_days,narrative_type,narrative_description,dynamic_keywords,total_actors,key_insights,sentiment_positive,sentiment_negative,sentiment_neutral,financial_positive,financial_negative,financial_neutral
0,22,660,General Business,"This narrative centers around ground beef, blended ground beef, ground beef chuck. spanning 660 days with 22 articles. The coverage shows neutral tone (confidence: 0.87).","ground beef, blended ground beef, ground beef chuck, ground beef round, loin, 00, ground beef sirloin, blended ground, bnls, round",1,Concentrated reporting suggests specialized coverage or breaking news; Rich entity content suggests complex stakeholder dynamics,0,0,22,0,0,22
1,22,665,Market Crisis,"This narrative centers around london, pound, england. spanning 665 days with 22 articles. The coverage shows negative sentiment (confidence: 0.64).","london, pound, england, percent, bank of england, bloomberg, bank, bloomberg correlation-weighted indexes, central bank, financial analysts societies",13,Rich entity content suggests complex stakeholder dynamics,2,15,5,6,16,0
2,20,356,Market Growth,"This narrative centers around apple, jobs, steve jobs. spanning 356 days with 20 articles. The coverage shows negative sentiment (confidence: 0.86). with specifically neutral financial implications.","apple, jobs, steve jobs, steve, steve jobs apple, rip steve jobs, chairman steve jobs, founder, co-founder steve jobs, officer steve jobs",15,Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,1,17,2,2,6,12
3,4,653,Market Crisis,"This narrative centers around uganda, authority, uganda coffee development. spanning 653 days with 4 articles. The coverage shows neutral tone (confidence: 0.64). with specifically negative financial implications.","uganda, authority, uganda coffee development, exports, coffee development authority, million bags, uganda coffee, bags, pound, coffee exports",1,Concentrated reporting suggests specialized coverage or breaking news; High proportion of market-hours coverage suggests trading relevance; Rich entity content suggests complex stakeholder dynamics,0,0,4,1,2,1
4,18,659,Market Crisis,"This narrative centers around gold, percent, world gold council. spanning 659 days with 18 articles. The coverage shows neutral tone (confidence: 0.64). with specifically positive financial implications.","gold, percent, world gold council, central banks, metal, gold futures, delivery, european central bank, futures, world gold",11,Rich entity content suggests complex stakeholder dynamics,2,6,10,9,8,1
5,4,1,General Business,"This narrative centers around percent, warsaw, pko bank. with 4 articles published on a single day. The coverage shows neutral tone (confidence: 0.45). with specifically positive financial implications.","percent, warsaw, pko bank, tvn shares move, warsaw stock exchange, pko bank polski, sa, speculation, or percent to, zloty",3,High coverage intensity suggests significant market impact; High proportion of market-hours coverage suggests trading relevance; Rich entity content suggests complex stakeholder dynamics,2,0,2,4,0,0
6,21,665,Market Crisis,"This narrative centers around sao paulo, brazil, central bank. spanning 665 days with 21 articles. The coverage shows neutral tone (confidence: 0.63). with specifically positive financial implications.","sao paulo, brazil, central bank, paulo, percent, rates, sao, brazil swap rates, president dilma rousseff, bank",16,Rich entity content suggests complex stakeholder dynamics,0,7,14,10,10,1
7,7,653,Market Crisis,"This narrative centers around rate, vietnam, bank. spanning 653 days with 7 articles. The coverage shows neutral tone (confidence: 0.63). with specifically negative financial implications.","rate, vietnam, bank, percent, compiled by bloomberg, bloomberg, central bank, fight inflation vietnam, bonds, hanoi",1,Concentrated reporting suggests specialized coverage or breaking news; Rich entity content suggests complex stakeholder dynamics,0,2,5,3,4,0
8,21,660,Market Crisis,"This narrative centers around zealand, australia, new zealand. spanning 660 days with 21 articles. The coverage shows neutral tone (confidence: 0.63). with specifically positive financial implications.","zealand, australia, new zealand, percent, dollar, zealand dollar, national australia bank, sydney, aussie, australian dollar",11,Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,3,7,11,11,10,0
9,13,660,Market Crisis,"This narrative centers around percent, shares, saudi basic industries. spanning 660 days with 13 articles. The coverage shows positive sentiment (confidence: 0.54).","percent, shares, saudi basic industries, saudi arabia, india, zain saudi arabia, index, dfm general index, holding, saudi",7,Off-hours coverage pattern indicates planned announcements or global events; Rich entity content suggests complex stakeholder dynamics,6,3,4,8,5,0
